"index","Familie","Gattung","Art","D_1__Actinobacteria","D_1__Bacteroidetes","D_1__Chloroflexi","D_1__Euryarchaeota","D_1__Fibrobacteres","D_1__Firmicutes","D_1__Patescibacteria","D_1__Proteobacteria","D_1__Spirochaetes","D_1__Synergistetes","D_1__Verrucomicrobia","D_1__Fusobacteria","D_1__Epsilonbacteraeota","D_1__Planctomycetes","D_1__Tenericutes","D_1__WPS-2","D_1__Elusimicrobia","D_1__Cyanobacteria","D_1__Lentisphaerae","D_1__Excavata","D_1__Deferribacteres","D_1__Acidobacteria","D_1__Opisthokonta"
"OPE2507EISF8","Canidae","Vulpes","Eisfuchs",0,733,0,0,0,144,0,26,0,0,0,462,0,0,0,0,0,0,0,0,0,0,0
"OPE2507EISF9","Canidae","Vulpes","Eisfuchs",0,480,0,0,0,83,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0
"OPE2507GEPA3","Felidae","Acinonyx","Gepard",0,1467,0,0,0,2062,0,5167,0,0,0,2999,21,0,0,0,0,0,0,0,0,0,0
"OPE2507GEPA4","Felidae","Acinonyx","Gepard",0,2023,0,0,0,3564,0,172,0,0,0,1000,49,0,0,0,0,0,0,0,0,0,0
"OPE2507GEPA5","Felidae","Acinonyx","Gepard",0,586,0,0,0,2526,0,1686,0,0,0,2442,0,0,0,0,0,0,0,0,0,0,0
"OPE2507LOEF4","Canidae","Otocyon","Loeffelhund",0,1834,0,0,0,4046,0,857,0,0,0,3246,0,0,0,0,0,0,0,0,0,0,0
"OPE2507LOEF5","Canidae","Otocyon","Loeffelhund",0,2684,0,0,0,577,0,510,0,0,0,2421,554,0,0,0,0,0,0,0,0,0,0
"OPE2507LOEF6","Canidae","Otocyon","Loeffelhund",0,2121,0,0,0,1125,0,597,0,0,0,1161,59,0,0,0,0,0,0,0,0,0,0
"OPE2507PAND3","Ailuridae","Ailurus","Roter_Panda",0,1661,0,0,0,1428,0,3440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2507PAND4","Ailuridae","Ailurus","Roter_Panda",0,0,0,0,0,19792,0,4355,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0
"OPE2709ELEF1","Elephantidae","Loxodonta","AfrikElefant",0,2832,0,344,252,1082,0,0,1977,0,440,0,0,0,0,0,0,0,0,0,0,0,0
"OPE2709ELEF2","Elephantidae","Loxodonta","AfrikElefant",0,3096,0,191,0,1675,0,0,269,87,235,0,0,0,0,0,29,0,0,0,0,0,0
"OPE2709ELEF3","Elephantidae","Loxodonta","AfrikElefant",0,2840,0,84,0,2335,0,20,574,156,302,0,0,0,0,0,58,0,0,0,0,0,0
